order_id,order_placement_date,customer_id,product_id,order_qty,agreed_delivery_date,actual_delivery_date,delivery_qty,In Full,On Time,On Time In Full
FMR34203601,"Tuesday, March 1, 2022",789203,25891601,110,"Friday, March 4, 2022","Friday, March 4, 2022",110,1,1,1
FMR32320302,"Tuesday, March 1, 2022",789320,25891203,347,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",347,1,1,1
FMR33320501,"Tuesday, March 1, 2022",789320,25891203,187,"Thursday, March 3, 2022","Thursday, March 3, 2022",150,0,1,0
FMR34220601,"Tuesday, March 1, 2022",789220,25891203,235,"Friday, March 4, 2022","Friday, March 4, 2022",235,1,1,1
FMR33703603,"Tuesday, March 1, 2022",789703,25891203,176,"Thursday, March 3, 2022","Thursday, March 3, 2022",176,1,1,1
FMR33721603,"Tuesday, March 1, 2022",789721,25891203,345,"Thursday, March 3, 2022","Thursday, March 3, 2022",345,1,1,1
FMR33420203,"Tuesday, March 1, 2022",789420,25891203,138,"Thursday, March 3, 2022","Sunday, March 6, 2022",138,1,0,0
FMR34420402,"Tuesday, March 1, 2022",789420,25891203,381,"Friday, March 4, 2022","Saturday, March 5, 2022",381,1,0,0
FMR32403401,"Tuesday, March 1, 2022",789403,25891203,348,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",348,1,1,1
FMR34121203,"Tuesday, March 1, 2022",789121,25891203,480,"Friday, March 4, 2022","Sunday, March 6, 2022",480,1,0,0
FMR32501601,"Tuesday, March 1, 2022",789501,25891203,478,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",478,1,1,1
FMR34501203,"Tuesday, March 1, 2022",789501,25891203,491,"Friday, March 4, 2022","Friday, March 4, 2022",491,1,1,1
FMR34102602,"Tuesday, March 1, 2022",789102,25891203,407,"Friday, March 4, 2022","Friday, March 4, 2022",387,0,1,0
FMR33902203,"Tuesday, March 1, 2022",789902,25891203,299,"Thursday, March 3, 2022","Thursday, March 3, 2022",299,1,1,1
FMR34903603,"Tuesday, March 1, 2022",789903,25891203,329,"Friday, March 4, 2022","Friday, March 4, 2022",329,1,1,1
FMR32421203,"Tuesday, March 1, 2022",789421,25891203,441,"Wednesday, March 2, 2022","Thursday, March 3, 2022",419,0,0,0
FMR33421203,"Tuesday, March 1, 2022",789421,25891203,104,"Thursday, March 3, 2022","Sunday, March 6, 2022",99,0,0,0
FMR33402203,"Tuesday, March 1, 2022",789402,25891203,491,"Thursday, March 3, 2022","Saturday, March 5, 2022",491,1,0,0
FMR33621603,"Tuesday, March 1, 2022",789621,25891203,138,"Thursday, March 3, 2022","Thursday, March 3, 2022",138,1,1,1
FMR34520301,"Tuesday, March 1, 2022",789520,25891203,172,"Friday, March 4, 2022","Friday, March 4, 2022",155,0,1,0
FMR33702302,"Tuesday, March 1, 2022",789702,25891302,38,"Thursday, March 3, 2022","Thursday, March 3, 2022",30,0,1,0
FMR32320302,"Tuesday, March 1, 2022",789320,25891302,54,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",54,1,1,1
FMR34603302,"Tuesday, March 1, 2022",789603,25891302,37,"Friday, March 4, 2022","Friday, March 4, 2022",37,1,1,1
FMR34721502,"Tuesday, March 1, 2022",789721,25891302,63,"Friday, March 4, 2022","Saturday, March 5, 2022",60,0,0,0
FMR33621302,"Tuesday, March 1, 2022",789621,25891302,56,"Thursday, March 3, 2022","Friday, March 4, 2022",56,1,0,0
FMR32520302,"Tuesday, March 1, 2022",789520,25891302,54,"Wednesday, March 2, 2022","Thursday, March 3, 2022",49,0,0,0
FMR33520601,"Tuesday, March 1, 2022",789520,25891302,42,"Thursday, March 3, 2022","Saturday, March 5, 2022",34,0,0,0
FMR34520302,"Tuesday, March 1, 2022",789520,25891302,23,"Friday, March 4, 2022","Saturday, March 5, 2022",22,0,0,0
FMR32420602,"Tuesday, March 1, 2022",789420,25891302,49,"Wednesday, March 2, 2022","Friday, March 4, 2022",49,1,0,0
FMR32902402,"Tuesday, March 1, 2022",789902,25891302,70,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",70,1,1,1
FMR32521302,"Tuesday, March 1, 2022",789521,25891302,34,"Wednesday, March 2, 2022","Thursday, March 3, 2022",34,1,0,0
FMR32720302,"Tuesday, March 1, 2022",789720,25891302,49,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",49,1,1,1
FMR33401603,"Tuesday, March 1, 2022",789401,25891302,40,"Thursday, March 3, 2022","Thursday, March 3, 2022",40,1,1,1
FMR33121302,"Tuesday, March 1, 2022",789121,25891302,26,"Thursday, March 3, 2022","Thursday, March 3, 2022",26,1,1,1
FMR32903403,"Tuesday, March 1, 2022",789903,25891302,42,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",40,0,1,0
FMR32422302,"Tuesday, March 1, 2022",789422,25891302,67,"Wednesday, March 2, 2022","Saturday, March 5, 2022",54,0,0,0
FMR32301302,"Tuesday, March 1, 2022",789301,25891302,29,"Wednesday, March 2, 2022","Saturday, March 5, 2022",29,1,0,0
FMR33721603,"Tuesday, March 1, 2022",789721,25891301,59,"Thursday, March 3, 2022","Thursday, March 3, 2022",59,1,1,1
FMR32420403,"Tuesday, March 1, 2022",789420,25891301,87,"Wednesday, March 2, 2022","Wednesday, March 2, 2022",87,1,1,1
